OrderID,CustomerID,OrderDate,LocationID,ProductID,Quantity,TotalPrice,OrderStatus
1,702,2023-01-01 00:00:00,41,65,7,7.35,Pending
2,470,2023-01-01 01:00:00,48,196,18,227.85,Completed
3,945,2023-01-01 02:00:00,26,28,3,99.73,Cancelled
4,494,2023-01-01 03:00:00,12,87,9,93.4,Pending
5,835,2023-01-01 04:00:00,29,139,13,341.56,Completed
6,16,2023-01-01 05:00:00,7,30,19,156.03,Pending
7,159,2023-01-01 06:00:00,24,170,11,347.93,Pending
8,760,2023-01-01 07:00:00,7,80,10,233.62,Cancelled
9,449,2023-01-01 08:00:00,43,52,10,244.64,Pending
10,700,2023-01-01 09:00:00,2,140,7,464.6,Completed
11,295,2023-01-01 10:00:00,4,22,6,458.21,Completed
12,201,2023-01-01 11:00:00,41,89,4,348.89,Pending
13,655,2023-01-01 12:00:00,17,55,17,231.41,Cancelled
14,498,2023-01-01 13:00:00,38,154,1,441.99,Completed
15,838,2023-01-01 14:00:00,21,36,16,428.0,Pending
16,65,2023-01-01 15:00:00,30,62,17,254.03,Completed
17,208,2023-01-01 16:00:00,15,198,9,218.39,Cancelled
18,452,2023-01-01 17:00:00,21,85,1,271.45,Pending
19,239,2023-01-01 18:00:00,41,174,5,470.75,Completed
20,163,2023-01-01 19:00:00,23,89,12,138.57,Pending
21,789,2023-01-01 20:00:00,29,113,4,482.84,Cancelled
22,47,2023-01-01 21:00:00,28,131,16,202.1,Pending
23,519,2023-01-01 22:00:00,44,104,10,165.84,Completed
24,873,2023-01-01 23:00:00,17,153,9,370.41,Pending
25,927,2023-01-02 00:00:00,49,196,18,73.25,Completed
26,362,2023-01-02 01:00:00,13,141,3,242.52,Cancelled
27,243,2023-01-02 02:00:00,48,80,8,372.9,Cancelled
28,893,2023-01-02 03:00:00,15,102,7,380.6,Pending
29,767,2023-01-02 04:00:00,20,76,2,187.28,Pending
30,367,2023-01-02 05:00:00,24,147,4,236.29,Cancelled
31,485,2023-01-02 06:00:00,33,148,11,330.6,Completed
32,832,2023-01-02 07:00:00,21,93,6,182.12,Cancelled
33,747,2023-01-02 08:00:00,43,88,5,183.95,Completed
34,39,2023-01-02 09:00:00,45,191,1,185.39,Pending
35,387,2023-01-02 10:00:00,4,180,10,159.4,Cancelled
36,832,2023-01-02 11:00:00,46,106,6,75.7,Completed
37,648,2023-01-02 12:00:00,12,169,3,58.79,Completed
38,941,2023-01-02 13:00:00,7,173,5,156.58,Completed
39,698,2023-01-02 14:00:00,17,112,11,232.88,Cancelled
40,894,2023-01-02 15:00:00,33,174,4,283.87,Cancelled
41,544,2023-01-02 16:00:00,8,120,1,74.97,Completed
42,959,2023-01-02 17:00:00,7,193,4,115.84,Completed
43,789,2023-01-02 18:00:00,40,196,8,456.01,Cancelled
44,284,2023-01-02 19:00:00,42,7,13,29.49,Cancelled
45,433,2023-01-02 20:00:00,20,26,10,134.06,Pending
46,90,2023-01-02 21:00:00,48,154,18,100.28,Pending
47,221,2023-01-02 22:00:00,12,114,13,132.61,Completed
48,325,2023-01-02 23:00:00,4,125,7,184.96,Pending
49,896,2023-01-03 00:00:00,38,114,12,218.45,Completed
50,683,2023-01-03 01:00:00,32,174,15,451.48,Cancelled
51,134,2023-01-03 02:00:00,25,38,8,34.12,Pending
52,519,2023-01-03 03:00:00,11,112,15,153.32,Completed
53,515,2023-01-03 04:00:00,17,160,4,82.12,Cancelled
54,572,2023-01-03 05:00:00,13,73,14,117.46,Completed
55,7,2023-01-03 06:00:00,29,56,19,27.66,Cancelled
56,521,2023-01-03 07:00:00,12,64,3,134.77,Pending
57,923,2023-01-03 08:00:00,17,193,17,361.17,Completed
58,247,2023-01-03 09:00:00,31,62,18,129.88,Cancelled
59,80,2023-01-03 10:00:00,37,75,7,391.29,Pending
60,12,2023-01-03 11:00:00,25,12,10,290.31,Pending
61,659,2023-01-03 12:00:00,10,136,6,72.72,Cancelled
62,607,2023-01-03 13:00:00,22,55,3,316.68,Pending
63,394,2023-01-03 14:00:00,48,94,5,65.14,Pending
64,133,2023-01-03 15:00:00,21,49,4,419.3,Pending
65,602,2023-01-03 16:00:00,33,53,2,295.41,Cancelled
66,976,2023-01-03 17:00:00,34,107,15,293.1,Pending
67,48,2023-01-03 18:00:00,16,12,5,350.62,Cancelled
68,307,2023-01-03 19:00:00,22,11,8,61.93,Cancelled
69,87,2023-01-03 20:00:00,1,194,2,442.44,Cancelled
70,597,2023-01-03 21:00:00,6,163,17,398.47,Cancelled
71,655,2023-01-03 22:00:00,20,124,18,158.45,Completed
72,165,2023-01-03 23:00:00,21,78,11,14.67,Completed
73,790,2023-01-04 00:00:00,23,121,18,46.0,Cancelled
74,21,2023-01-04 01:00:00,42,118,1,91.85,Pending
75,71,2023-01-04 02:00:00,18,21,1,284.55,Completed
76,279,2023-01-04 03:00:00,37,170,2,244.62,Cancelled
77,137,2023-01-04 04:00:00,20,105,7,136.12,Completed
78,9,2023-01-04 05:00:00,1,192,18,119.38,Completed
79,66,2023-01-04 06:00:00,47,181,17,118.57,Cancelled
80,283,2023-01-04 07:00:00,47,94,8,400.66,Pending
81,343,2023-01-04 08:00:00,25,29,18,498.38,Cancelled
82,492,2023-01-04 09:00:00,13,191,8,346.32,Completed
83,21,2023-01-04 10:00:00,32,114,11,288.86,Cancelled
84,117,2023-01-04 11:00:00,49,55,18,22.76,Completed
85,137,2023-01-04 12:00:00,8,196,4,16.93,Completed
86,61,2023-01-04 13:00:00,5,129,14,127.59,Completed
87,604,2023-01-04 14:00:00,34,121,16,74.47,Completed
88,173,2023-01-04 15:00:00,44,4,5,414.78,Completed
89,920,2023-01-04 16:00:00,10,28,7,107.62,Cancelled
90,938,2023-01-04 17:00:00,20,152,16,213.54,Completed
91,573,2023-01-04 18:00:00,7,53,10,214.58,Pending
92,55,2023-01-04 19:00:00,44,125,9,149.03,Pending
